physician.endocrinology.adrenalDisease,adrenalDisease,Adrenal Disease,18feb6d7-7cc3-482b-ab03-9c678f973574,1,FALSE
physician.endocrinology.clinicalPharmacologyEndocrinology,clinicalPharmacologyEndocrinology,Clinical Pharmacology - Endocrinology,ae2e656b-08a4-45b6-8f49-742343cd3b32,2,FALSE
physician.endocrinology.diabetes,diabetes,Diabetes,faa9e7c0-4dfd-467b-9719-cdabebbf9dae,3,FALSE
physician.endocrinology.generalEndocrinology,generalEndocrinology,General Endocrinology,87746e84-5821-469d-991d-04351af0e1a7,0,FALSE
physician.endocrinology.gonadDisordersReproductive,gonadDisordersReproductive,Gonad Disorders & Reproductive,4b5ce067-f678-4002-99de-20a63893ac8c,4,FALSE
physician.endocrinology.hIVAIDSRelatedMetabolism,hIVAIDSRelatedMetabolism,HIV/AIDS related metabolism,a5f48c5c-033a-400b-b426-72cf668034ba,5,FALSE
physician.endocrinology.lipidMetabolism,lipidMetabolism,Lipid Metabolism,eb977acc-57b9-4e4a-b9f1-ade1551a15e4,6,FALSE
physician.endocrinology.obesity,obesity,Obesity,4dc3854c-4085-4941-883a-b47018b93aad,7,FALSE
physician.endocrinology.osteoporosisBoneMetabolismMedicine,osteoporosisBoneMetabolismMedicine,Osteoporosis & Bone Metabolism Medicine,38e90f98-e55e-4b12-886e-04cc6483b214,8,FALSE
physician.endocrinology.parathyroid,parathyroid,Parathyroid,34ab78d4-766e-48b6-90c7-95c2729e738d,9,FALSE
physician.endocrinology.pediatricEndocrinology,pediatricEndocrinology,Pediatric Endocrinology,0be3a74f-2294-4fb8-a808-2a48c8b6d3d2,10,FALSE
physician.endocrinology.pituitaryDisordersNeuroendocrinology,pituitaryDisordersNeuroendocrinology,Pituitary Disorders & Neuroendocrinology,cbd923d2-ad09-4a85-adfa-87bd6db561aa,11,FALSE
physician.endocrinology.thyroid,thyroid,Thyroid,4bfee405-bd59-4e2a-adb1-c47d2f528062,12,FALSE
physician.familyMedicine,familyMedicine,Family Medicine,271fc1e5-01bd-43ec-bac7-2542c3b2a5ba,10,FALSE
physician.familyMedicine.addictionMedicine,addictionMedicine,Addiction Medicine,77d8e51b-7d2e-4715-b98c-574019e93bf3,1,FALSE
physician.familyMedicine.adolescentMedicine,adolescentMedicine,Adolescent Medicine,3ebec5da-2799-4153-9444-4a295ea03cfc,2,FALSE
physician.familyMedicine.bariatricMedicine,bariatricMedicine,Bariatric Medicine,fb857238-6e17-4f17-a624-d5fd296944a9,3,FALSE
physician.familyMedicine.behavioralMedicine,behavioralMedicine,Behavioral Medicine,85e97b7c-6b56-484a-9802-0bfb4d541e7b,4,FALSE
